panel,spec,term,coef,se,r2,n
OLS,1,conc_weig_basicpdpd_c4,0.2742341139654537,0.059092878870252025,0.47173248318021477,170
2SLS,1,conc_weig_basicpdpd_c4,0.5435211617097124,0.2367383662652042,0.43280462195469205,170
OLS,2,conc_weig_basicpdpd_c4,0.3007589872311244,0.14973458223141548,0.6363967859845421,170
2SLS,2,conc_weig_basicpdpd_c4,0.6160020127122373,0.3241832592210455,0.609112441982363,170
OLS,3,conc_weig_basicpdpd_c4,0.27550536529316505,0.07471340479834815,0.47640436881493586,170
2SLS,3,conc_weig_basicpdpd_c4,0.6887237960589965,0.24222936541225382,0.401099658666356,170
OLS,4,conc_weig_basicpdpd_c4,0.302422334018048,0.1564182626280114,0.6444713697991208,170
2SLS,4,conc_weig_basicpdpd_c4,0.6319803057485203,0.3356994687781022,0.6168634456530431,170
OLS,5,conc_weig_basicpdpd_c4,0.3038518161236362,0.07653112501831198,0.48830314265815655,170
2SLS,5,conc_weig_basicpdpd_c4,0.7496745488305123,0.2517943279114964,0.40323468293584286,170
OLS,6,conc_weig_basicpdpd_c4,0.35192368179262,0.1425271146921843,0.6537045424643849,170
2SLS,6,conc_weig_basicpdpd_c4,0.701674310068924,0.31417451933204976,0.6253465183661446,170
